id,name.local,name.en,name.slug,code.id,children_count.settlement,geo.lat,geo.lon
GAB003001,Abanga-Bigne,Abanga-Bigne,abanga-bigne,GAB003001,137,-0.175,10.736
GAB003002,Ogooue et Lacs,Ogooue et Lacs,ogooue-et-lacs,GAB003002,169,-0.704,10.172
