id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.province,children_count.department,children_count.settlement,zip_codes,geo.lat,geo.lon
GAB001,1,Province,Province,Estuaire,Estuaire,estuaire,GAB001,,,,,,4,478,,0.412,9.857
GAB001001,2,Département,Department,Komo,Komo,komo,GAB001001,,GAB001,Estuaire,Estuaire,,,177,,0.277,10.261
GAB001002,2,Département,Department,Komo-Mondah,Komo-Mondah,komo-mondah,GAB001002,,GAB001,Estuaire,Estuaire,,,140,,0.271,9.504
GAB001003,2,Département,Department,Noya,Noya,noya,GAB001003,,GAB001,Estuaire,Estuaire,,,118,,0.788,9.81
GAB001004,2,Département,Department,Libreville,Libreville,libreville,GAB001004,,GAB001,Estuaire,Estuaire,,,43,,0.377,9.493
GAB002,1,Province,Province,Haut-Ogooue,Haut-Ogooue,haut-ogooue,GAB002,,,,,,11,364,,-1.43,13.659
GAB002001,2,Département,Department,Djoue,Djoue,djoue,GAB002001,,GAB002,Haut-Ogooue,Haut-Ogooue,,,3,,-0.833,14.128
GAB002002,2,Département,Department,Djouori-Agnili,Djouori-Agnili,djouori-agnili,GAB002002,,GAB002,Haut-Ogooue,Haut-Ogooue,,,27,,-1.475,13.909
GAB002003,2,Département,Department,Lebombi-Leyou,Lebombi-Leyou,lebombi-leyou,GAB002003,,GAB002,Haut-Ogooue,Haut-Ogooue,,,56,,-1.504,13.192
GAB002004,2,Département,Department,Lekabi-Lewolo,Lekabi-Lewolo,lekabi-lewolo,GAB002004,,GAB002,Haut-Ogooue,Haut-Ogooue,,,13,,-1.322,13.736
GAB002005,2,Département,Department,Lekoko,Lekoko,lekoko,GAB002005,,GAB002,Haut-Ogooue,Haut-Ogooue,,,9,,-1.747,13.012
GAB002006,2,Département,Department,Lekoni-Lekori,Lekoni-Lekori,lekoni-lekori,GAB002006,,GAB002,Haut-Ogooue,Haut-Ogooue,,,16,,-1.151,13.866
GAB002007,2,Département,Department,Ogooue-Letili,Ogooue-Letili,ogooue-letili,GAB002007,,GAB002,Haut-Ogooue,Haut-Ogooue,,,22,,-2.147,13.64
GAB002008,2,Département,Department,Passa,Passa,passa,GAB002008,,GAB002,Haut-Ogooue,Haut-Ogooue,,,112,,-1.63,13.593
GAB002009,2,Département,Department,Plateaux,Plateaux,plateaux,GAB002009,,GAB002,Haut-Ogooue,Haut-Ogooue,,,39,,-1.702,14.208
GAB002010,2,Département,Department,Sebe-Brikolo,Sebe-Brikolo,sebe-brikolo,GAB002010,,GAB002,Haut-Ogooue,Haut-Ogooue,,,65,,-0.668,13.738
GAB002011,2,Département,Department,Bayi-Brikolo,Bayi-Brikolo,bayi-brikolo,GAB002011,,GAB002,Haut-Ogooue,Haut-Ogooue,,,2,,-0.5,14.075
GAB003,1,Province,Province,Moyen-Ogooue,Moyen-Ogooue,moyen-ogooue,GAB003,,,,,,2,306,,-0.462,10.43
GAB003001,2,Département,Department,Abanga-Bigne,Abanga-Bigne,abanga-bigne,GAB003001,,GAB003,Moyen-Ogooue,Moyen-Ogooue,,,137,,-0.175,10.736
GAB003002,2,Département,Department,Ogooue et Lacs,Ogooue et Lacs,ogooue-et-lacs,GAB003002,,GAB003,Moyen-Ogooue,Moyen-Ogooue,,,169,,-0.704,10.172
GAB004,1,Province,Province,Ngounie,Ngounie,ngounie,GAB004,,,,,,9,816,,-1.84,11.364
GAB004001,2,Département,Department,Boumi-Louetsi,Boumi-Louetsi,boumi-louetsi,GAB004001,,GAB004,Ngounie,Ngounie,,,189,,-2.041,11.796
GAB004002,2,Département,Department,Dola,Dola,dola,GAB004002,,GAB004,Ngounie,Ngounie,,,95,,-2.325,11.37
GAB004003,2,Département,Department,Douya-Onoye,Douya-Onoye,douya-onoye,GAB004003,,GAB004,Ngounie,Ngounie,,,42,,-1.857,11.095
GAB004004,2,Département,Department,Louetsi-Bibaka,Louetsi-Bibaka,louetsi-bibaka,GAB004004,,GAB004,Ngounie,Ngounie,,,63,,-2.202,12.258
GAB004005,2,Département,Department,Louetsi-Wano,Louetsi-Wano,louetsi-wano,GAB004005,,GAB004,Ngounie,Ngounie,,,46,,-2.199,11.528
GAB004006,2,Département,Department,Ndolou,Ndolou,ndolou,GAB004006,,GAB004,Ngounie,Ngounie,,,62,,-1.585,10.225
GAB004007,2,Département,Department,Ogoulou,Ogoulou,ogoulou,GAB004007,,GAB004,Ngounie,Ngounie,,,165,,-1.439,11.569
GAB004008,2,Département,Department,Tsamba-Magotsi,Tsamba-Magotsi,tsamba-magotsi,GAB004008,,GAB004,Ngounie,Ngounie,,,110,,-1.375,10.676
GAB004009,2,Département,Department,Mougalaba,Mougalaba,mougalaba,GAB004009,,GAB004,Ngounie,Ngounie,,,44,,-2.051,10.797
GAB005,1,Province,Province,Nyanga,Nyanga,nyanga,GAB005,,,,,,6,389,,-2.883,11.048
GAB005001,2,Département,Department,Basse-Banio,Basse-Banio,basse-banio,GAB005001,,GAB005,Nyanga,Nyanga,,,80,,-3.08,10.567
GAB005002,2,Département,Department,Douigni,Douigni,douigni,GAB005002,,GAB005,Nyanga,Nyanga,,,56,,-2.437,10.914
GAB005003,2,Département,Department,Doutsila,Doutsila,doutsila,GAB005003,,GAB005,Nyanga,Nyanga,,,103,,-2.76,11.4
GAB005004,2,Département,Department,Haute-Banio,Haute-Banio,haute-banio,GAB005004,,GAB005,Nyanga,Nyanga,,,23,,-3.731,11.015
GAB005005,2,Département,Department,Mougoutsi,Mougoutsi,mougoutsi,GAB005005,,GAB005,Nyanga,Nyanga,,,106,,-2.844,11.028
GAB005006,2,Département,Department,Mongo,Mongo,mongo,GAB005006,,GAB005,Nyanga,Nyanga,,,21,,-3.261,11.583
GAB006,1,Province,Province,Ogooue-Ivindo,Ogooue-Ivindo,ogooue-ivindo,GAB006,,,,,,4,350,,0.496,12.841
GAB006001,2,Département,Department,Ivindo,Ivindo,ivindo,GAB006001,,GAB006,Ogooue-Ivindo,Ogooue-Ivindo,,,122,,0.664,12.955
GAB006002,2,Département,Department,Lope,Lope,lope,GAB006002,,GAB006,Ogooue-Ivindo,Ogooue-Ivindo,,,95,,-0.086,11.845
GAB006003,2,Département,Department,Mvoung,Mvoung,mvoung,GAB006003,,GAB006,Ogooue-Ivindo,Ogooue-Ivindo,,,32,,0.345,12.173
GAB006004,2,Département,Department,Zadie,Zadie,zadie,GAB006004,,GAB006,Ogooue-Ivindo,Ogooue-Ivindo,,,101,,0.887,13.854
GAB007,1,Province,Province,Ogooue-Lolo,Ogooue-Lolo,ogooue-lolo,GAB007,,,,,,4,438,,-1.155,12.512
GAB007001,2,Département,Department,Lolo-Bouenguidi,Lolo-Bouenguidi,lolo-bouenguidi,GAB007001,,GAB007,Ogooue-Lolo,Ogooue-Lolo,,,129,,-1.376,12.264
GAB007002,2,Département,Department,Lombo-Bouenguidi,Lombo-Bouenguidi,lombo-bouenguidi,GAB007002,,GAB007,Ogooue-Lolo,Ogooue-Lolo,,,70,,-1.445,12.624
GAB007003,2,Département,Department,Mouloundou,Mouloundou,mouloundou,GAB007003,,GAB007,Ogooue-Lolo,Ogooue-Lolo,,,182,,-0.899,12.839
GAB007004,2,Département,Department,Offoue-Onoye,Offoue-Onoye,offoue-onoye,GAB007004,,GAB007,Ogooue-Lolo,Ogooue-Lolo,,,57,,-1.094,11.92
GAB008,1,Province,Province,Ogooue-Maritime,Ogooue-Maritime,ogooue-maritime,GAB008,,,,,,3,261,,-1.495,9.542
