id,name.local,name.en,name.slug,code.id,children_count.settlement,geo.lat,geo.lon
GAB008001,Bendje,Bendje,bendje,GAB008001,87,-0.883,9.302
GAB008002,Etimboue,Etimboue,etimboue,GAB008002,123,-1.628,9.498
GAB008003,Ndougou,Ndougou,ndougou,GAB008003,51,-2.258,9.991
