id,name.local,name.en,name.slug,code.id,children_count.settlement,geo.lat,geo.lon
GAB006001,Ivindo,Ivindo,ivindo,GAB006001,122,0.664,12.955
GAB006002,Lope,Lope,lope,GAB006002,95,-0.086,11.845
GAB006003,Mvoung,Mvoung,mvoung,GAB006003,32,0.345,12.173
GAB006004,Zadie,Zadie,zadie,GAB006004,101,0.887,13.854
